Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
N100,2021-05-10,1249.780029,1249.780029,1240.97998,1243.630005,1243.630005,189458000.0,1517.2286061
N100,2021-05-11,1227.839966,1229.51001,1211.22998,1219.76001,1219.76001,236611300.0,1488.1072121999998
N100,2021-05-12,1219.910034,1224.560059,1214.060059,1220.079956,1220.079956,222628500.0,1488.49754632
N100,2021-05-13,1205.849976,1223.609985,1195.640015,1220.459961,1220.459961,176327600.0,1488.96115242
N100,2021-05-14,1229.810059,1237.939941,1222.030029,1237.890015,1237.890015,181430800.0,1510.2258183
N100,2021-05-17,1241.099976,1242.670044,1231.630005,1234.689941,1234.689941,159643800.0,1506.32172802
N100,2021-05-18,1242.599976,1244.23999,1232.599976,1233.800049,1233.800049,175986500.0,1505.23605978
N100,2021-05-19,1221.420044,1223.380005,1202.780029,1215.27002,1215.27002,217219200.0,1482.6294243999998
N100,2021-05-20,1221.780029,1232.319946,1216.300049,1232.280029,1232.280029,157211900.0,1503.38163538
N100,2021-05-21,1234.920044,1242.76001,1232.290039,1238.920044,1238.920044,182668200.0,1511.48245368
N100,2021-05-24,1240.650024,1244.01001,1238.459961,1243.900024,1243.900024,85213100.0,1517.55802928
N100,2021-05-25,1247.650024,1249.339966,1243.670044,1243.73999,1243.73999,150195900.0,1517.3627878
N100,2021-05-26,1247.119995,1248.640015,1241.199951,1243.420044,1243.420044,161202400.0,1516.97245368
N100,2021-05-27,1241.119995,1251.910034,1241.119995,1247.069946,1247.069946,379696400.0,1521.42533412
